words,counts
hi,1
there,1
how,17
are,8
you,21
is,13
anyone,1
there?,1
hello,1
good,2
day,1
yo,1
hey,1
bye,2
see,1
later,1
goodbye,1
nice,3
chatting,1
to,24
"you,",1
till,1
next,1
time,2
that's,2
it,5
then,1
thanks,3
thank,1
helpful,1
"awesome,",1
for,9
helping,2
me,6
awesome,1
appreciate,1
call,3
gracias,1
could,1
help,5
me?,1
what,25
can,13
do?,5
provide?,1
be,1
helpful?,1
support,1
offered,1
i,38
want,13
help.,1
tell,3
about,18
yourself,3
do,11
know?,1
instructions,1
huh,1
offering.,1
wanted,3
ask,3
something,3
this,4
talk,4
a,7
person,2
human,2
need,2
speak,4
real,1
representative,3
customer,2
service,3
agent,1
contact,2
email,2
your,3
webinar,1
nulliot,1
company,2
does,4
living?,1
products,2
products.,1
have,2
selling?,1
buy,9
from,1
you?,1
dolphyn,14
dolphyn?,6
not,5
know,7
survivr,13
more,4
survivr?,4
framegen,10
framgen,1
framegen?,5
provide,1
any,1
services?,2
kind,1
of,9
services,2
offering?,1
automate,1
my,3
digital,1
take,1
work?,1
much,7
cost?,7
pricing,6
plans,3
subscription,4
plan,4
price,4
cost,6
available,2
in,2
country?,1
pay,1
dollar?,1
counytry,1
"india,is",1
here?,1
ok,1
else?,1
hm..,1
get,1
now,1
cool,1
okay,1
yes,1
course,1
yah,1
no,1
nah,1
nop,1
thats,1
did,1
?,1
dont,1
understand,2
had,1
some,2
doubts,1
questions,1
intel,1
information,1
hate,1
refund!,1
!!,1
waste,1
stupid,1
bot,2
useless,1
why,1
thing,1
so,1
difficult,1
broken,1
